"","city","country","district.abbreviation","district.display_name","district.key","district.year","end_date","event_code","event_type","key","name","start_date","state_prov","year"
"117","Washington","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-24","njwas",  1,"2024njwas","FMA District Warren Hills Event","2024-03-22","NJ",2024
"118","Las Vegas","USA",NA,NA,NA,NA,"2024-03-30","nvlv",  0,"2024nvlv","Las Vegas Regional","2024-03-27","NV",2024
"119","Hempstead","USA",NA,NA,NA,NA,"2024-03-23","nyli2",  0,"2024nyli2","FIRST Long Island Regional","2024-03-20","NY",2024
"120","New York","USA",NA,NA,NA,NA,"2024-04-07","nyny",  0,"2024nyny","New York City Regional","2024-04-04","NY",2024
"121","Rochester","USA",NA,NA,NA,NA,"2024-03-16","nyro",  0,"2024nyro","Finger Lakes Regional","2024-03-13","NY",2024
"122","Suffern","USA",NA,NA,NA,NA,"2024-03-09","nysu",  0,"2024nysu","Hudson Valley Regional","2024-03-06","NY",2024
"123","Albany","USA",NA,NA,NA,NA,"2024-03-23","nytr",  0,"2024nytr","New York Tech Valley Regional","2024-03-20","NY",2024
"124","Bethpage","USA",NA,NA,NA,NA,"2024-03-03","nywz",100,"2024nywz","Regal Eagle Rampage","2024-03-03","NY",2024
"125","Cleveland","USA",NA,NA,NA,NA,"2024-03-23","ohcl",  0,"2024ohcl","Buckeye Regional","2024-03-20","OH",2024
"126","Cincinnati","USA",NA,NA,NA,NA,"2024-04-06","ohmv",  0,"2024ohmv","Miami Valley Regional","2024-04-03","OH",2024
"127","Mansfield","USA",NA,NA,NA,NA,"2024-06-08","ohss", 99,"2024ohss","Shawshank Showdown","2024-06-08","OH",2024
"128","Oklahoma City","USA",NA,NA,NA,NA,"2024-04-06","okok",  0,"2024okok","Oklahoma Regional","2024-04-03","OK",2024
"129","Tulsa","USA",NA,NA,NA,NA,"2024-03-09","oktu",  0,"2024oktu","Green Country Regional","2024-03-06","OK",2024
"130","Barrie","Canada",ont,Ontario,2024ont,2024,"2024-03-17","onbar",  1,"2024onbar","ONT District Georgian Event","2024-03-15","ON",2024
"131","Mississauga","Canada",ont,Ontario,2024ont,2024,"2024-04-06","oncmp",  2,"2024oncmp","FIRST Ontario Provincial Championship","2024-04-03","ON",2024
"132","Hamilton","Canada",ont,Ontario,2024ont,2024,"2024-03-30","onham",  1,"2024onham","ONT District McMaster University","2024-03-28","ON",2024
"133","Newmarket","Canada",ont,Ontario,2024ont,2024,"2024-03-10","onnew",  1,"2024onnew","ONT District Newmarket Complex Event","2024-03-08","ON",2024
"134","North Bay","Canada",ont,Ontario,2024ont,2024,"2024-03-24","onnob",  1,"2024onnob","ONT District North Bay Event","2024-03-22","ON",2024
"135","Oshawa","Canada",ont,Ontario,2024ont,2024,"2024-03-17","onosh",  1,"2024onosh","ONT District Durham College Event","2024-03-15","ON",2024
"136","Scarborough","Canada",ont,Ontario,2024ont,2024,"2024-03-10","onsca",  1,"2024onsca","ONT District Centennial College Event","2024-03-08","ON",2024
"137","Toronto","Canada",ont,Ontario,2024ont,2024,"2024-03-20","ontor",  1,"2024ontor","ONT District Humber College Event","2024-03-18","ON",2024
"138","Waterloo","Canada",ont,Ontario,2024ont,2024,"2024-03-23","onwat",  1,"2024onwat","ONT District University of Waterloo Event","2024-03-21","ON",2024
"139","Windsor","Canada",ont,Ontario,2024ont,2024,"2024-03-30","onwin",  1,"2024onwin","ONT District Windsor Essex Great Lakes Event","2024-03-28","ON",2024
"140","Oregon City","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-02","orore",  1,"2024orore","PNW District Clackamas Academy Event","2024-02-29","OR",2024
"141","Salem","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-09","orsal",  1,"2024orsal","PNW District Oregon State Fairgrounds Event","2024-03-07","OR",2024
"142","Wilsonville","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-23","orwil",  1,"2024orwil","PNW District Wilsonville Event","2024-03-21","OR",2024
"143","Bensalem","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-24","paben",  1,"2024paben","FMA District Bensalem Event","2024-03-22","PA",2024
"144","Pittsburgh","USA",NA,NA,NA,NA,"2024-03-02","paca",  0,"2024paca","Greater Pittsburgh Regional","2024-02-28","PA",2024
"145","Horsham","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-03","pahat",  1,"2024pahat","FMA District Hatboro-Horsham Event","2024-03-01","PA",2024
"146","Philadelphia","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-03-17","paphi",  1,"2024paphi","FMA District Springside Chestnut Hill Event","2024-03-15","PA",2024
"147","Portland","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-04-06","pncmp",  2,"2024pncmp","Pacific Northwest FIRST District Championship","2024-04-03","OR",2024
"148","Quebec","Canada",NA,NA,NA,NA,"2024-03-03","qcmo",  0,"2024qcmo","Festival de Robotique Regional","2024-03-01","QC",2024
"149","South Kingstown","USA",ne,New England,2024ne,2024,"2024-03-16","rikin",  1,"2024rikin","NE District URI Event","2024-03-14","RI",2024
"150","Anderson","USA",pch,Peachtree,2024pch,2024,"2024-03-09","scand",  1,"2024scand","PCH District Anderson Event presented by MAGNA","2024-03-07","SC",2024
"151","N. Charleston","USA",pch,Peachtree,2024pch,2024,"2024-03-23","sccha",  1,"2024sccha","PCH District Charleston Event","2024-03-21","SC",2024
"152","Knoxville","USA",NA,NA,NA,NA,"2024-03-06","tnkn",  0,"2024tnkn","Smoky Mountains Regional","2024-03-03","TN",2024
"153","İstanbul","Türkiye",NA,NA,NA,NA,"2024-03-21","tuhc",  0,"2024tuhc","Haliç Regional","2024-03-19","İstanbul",2024
"154","İstanbul","Türkiye",NA,NA,NA,NA,"2024-03-07","tuis",  0,"2024tuis","İstanbul Regional","2024-03-05","İstanbul",2024
"155","İstanbul","Türkiye",NA,NA,NA,NA,"2024-03-10","tuis2",  0,"2024tuis2","Bosphorus Regional","2024-03-08","İstanbul",2024
"156","İstanbul","Türkiye",NA,NA,NA,NA,"2024-03-24","tuis3",  0,"2024tuis3","Marmara Regional","2024-03-22","İstanbul",2024
"157","Amarillo","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-30","txama",  1,"2024txama","FIT District Amarillo Event","2024-03-28","TX",2024
"158","Belton","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-09","txbel",  1,"2024txbel","FIT District Belton Event","2024-03-07","TX",2024
"159","Friendswood","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-30","txcle",  1,"2024txcle","FIT District Space City @ Friendswood Event","2024-03-28","TX",2024
"160","Houston","USA",fit,FIRST In Texas,2024fit,2024,"2024-04-06","txcmp",  2,"2024txcmp","FIRST In Texas District Championship","2024-04-03","TX",2024
"161","Dallas","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-23","txdal",  1,"2024txdal","FIT District Dallas Event","2024-03-21","TX",2024
"162","Fort Worth","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-16","txfor",  1,"2024txfor","FIT District Fort Worth Event","2024-03-14","TX",2024
"163","Houston","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-24","txhou",  1,"2024txhou","FIT District Houston Event","2024-03-22","TX",2024
"164","Katy","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-02","txkat",  1,"2024txkat","FIT District Katy Event","2024-02-29","TX",2024
"165","Plano","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-10","txpla",  1,"2024txpla","FIT District Plano Event","2024-03-08","TX",2024
"166","San Antonio","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-16","txsan",  1,"2024txsan","FIT District San Antonio Event","2024-03-14","TX",2024
"167","Waco","USA",fit,FIRST In Texas,2024fit,2024,"2024-03-02","txwac",  1,"2024txwac","FIT District Waco Event","2024-02-29","TX",2024
